C,D,E,F,G,H,I,Q,R,X,Y
,,,,NO,NA,NO,Prooper Pit,YES,Prooper Pit,NO
,,,,NO,NA,NO,Prooper Pit,YES,Prooper Pit,YES
,,,,NO,VAC PAD,NO,Prooper Pit,YES,Prooper Pit,YES
,,,,NO,VAC PAD,NO,Fourth Lagoon,YES,Fourth Lagoon,YES
,,,,NO,VAC PAD,NO,Fourth Lagoon,YES,Fourth Lagoon,NO
PLANT1-UNIT145-GROUNDWATERREMEDIATION/WELLS,GWTSTANK12,GASOLINE,PLANT2-TANK20,YES,TANK 20,NO,All Groundwater,YES,Remediation Oil,YES
,,,,YES,Tank 20,NO,All Groundwater,YES,Remediation Oil,YES
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-OLDAPISCBAY,WATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stripped Sour Water,YES,Stripped Sour Water,NO
,,,,NO,VAC PAD,NO,Stripped Sour Water,NO,Stripped Sour Water,YES
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK75-WATERDRAW,OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,Reformate,NO,Reformate,NO
,,,,YES,VAC PAD,NO,Gasoline,NO,Gasoline,NO
PLANT2-UNIT210-#2OMDTANKFARM,PLANT2-PIPELINEFLUSH,OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,Gasoline,NO,Gasoline,NO
,,,,NO,VAC PAD,NO,Diesel,NO,Diesel,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-TANK4513-SLUDGE,SLUDGE,PLANT1-TANK29,NO,VAC PAD,NO,sludge processing,NO,sludge processing,NO
,,,,YES,TO,NO,sludge processing,NO,sludge processing,NO
,,,,NO,NA,NO,Sludge Processing,NO,Sludge Processing,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK67-WATERDRAW,OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,"Naphtha, Light",NO,"Naphtha, Light",NO
,,,,YES,VAC PAD,NO,"NAPHTHA, LIGHT",NO,"NAPHTHA, LIGHT",NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-2NDLAGOON,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Fourth Lagoon,YES,Fourth Lagoon,NO
,,,,NO,VAC PAD,NO,Fourth Lagoon,NO,Fourth Lagoon,NO
